標的名稱,時間,市佔率,成長率,金額,象限(BCG矩陣)
英利-KY,2018-03,0,9.12,16750.00,III(瘦狗)
恒耀,2018-03,0.3,1024.94,246858.50,II(問號)
振曜,2018-03,0,-3.59,15560.00,III(瘦狗)
桓達,2018-03,0,-63.14,22932.00,III(瘦狗)
泰博,2018-03,0,104.64,36307.50,II(問號)
訊芯-KY,2018-03,0.1,0,108300.00,III(瘦狗)
高技,2018-03,0,-54.96,18987.10,III(瘦狗)
健鼎,2018-03,0,-83.92,22442.00,III(瘦狗)
國巨,2018-03,8.6,103.72,7246970.37,I(明星)
國泰金,2018-03,1.8,-29.93,1472806.283,IV(金牛)
國精化,2018-03,0,0,9478.00,III(瘦狗)
崇越,2018-03,0.2,45.2,176988.00,II(問號)
崧騰,2018-03,0,35.85,23477.90,II(問號)
康友-KY,2018-03,0,-0.39,14421.00,III(瘦狗)
"康控-KY ",2018-03,0.8,80.03,659124.225,I(明星)
強信-KY,2018-03,0.1,16.83,69204.30,III(瘦狗)
強茂,2018-03,0.9,164.66,745306.80,I(明星)
捷敏-KY,2018-03,0.4,43.35,362784.40,II(問號)
啟碁,2018-03,0.1,-41.76,104004.559,III(瘦狗)
祥碩,2018-03,1,18.24,808554.912,IV(金牛)
第一金,2018-03,0,0,29226.397,III(瘦狗)
統一,2018-03,0.2,-40.55,185992.329,III(瘦狗)
統一超,2018-03,0,-55.59,36750.00,III(瘦狗)
創意,2018-03,0.9,2,791502.00,IV(金牛)
勝麗國際,2018-03,0.3,-8.85,254880.00,III(瘦狗)
博智,2018-03,0.5,342.13,425313.00,I(明星)
富邦金,2018-03,0.4,-6.34,305147.88,III(瘦狗)
富邦媒,2018-03,0,-35.47,27100.00,III(瘦狗)
敦南,2018-03,0.1,0,113926.50,III(瘦狗)
晶焱,2018-03,0,10.29,39585.00,III(瘦狗)
晶豪科,2018-03,0,0,11100.00,III(瘦狗)
智伸科,2018-03,0.4,-3.25,312225.00,III(瘦狗)
智邦,2018-03,1.3,-52.7,1050621.60,IV(金牛)
智易,2018-03,0,0,6564.00,III(瘦狗)
智原,2018-03,0.7,-11.21,581155.60,IV(金牛)
智崴,2018-03,0.1,-56.13,89200.00,III(瘦狗)
翔名,2018-03,0.1,-14.88,70601.40,III(瘦狗)
華固,2018-03,0.1,27.37,44875.00,II(問號)
華夏,2018-03,0,-96.04,19046.30,III(瘦狗)
華航,2018-03,0,-43.5,11610.00,III(瘦狗)
華新,2018-03,0.2,3.24,132860.00,III(瘦狗)
華新科,2018-03,1.9,343.05,1575076.44,I(明星)
華擎,2018-03,0.1,0,78824.20,III(瘦狗)
貿聯-KY,2018-03,0.1,-63.68,92355.84,III(瘦狗)
逸昌科技,2018-03,0,0,8360.75,III(瘦狗)
開發金,2018-03,0.2,-49.47,158558.20,III(瘦狗)
鈦昇,2018-03,0,-56.95,11225.00,III(瘦狗)
微星,2018-03,2,21.43,1652576.80,IV(金牛)
愛普,2018-03,0.3,246.83,251451.00,II(問號)
新日興,2018-03,0.2,172.92,126105.50,II(問號)
新光鋼,2018-03,0,0,15880.00,III(瘦狗)
新唐,2018-03,0.2,-2.19,164505.60,III(瘦狗)
瑞昱,2018-03,0.2,73.17,201890.00,II(問號)
盟立,2018-03,0,21.58,12024.576,III(瘦狗)
萬潤,2018-03,0.1,-43.08,81900.00,III(瘦狗)
義隆,2018-03,0,0,25134.00,III(瘦狗)
聖暉,2018-03,0,0,19135.00,III(瘦狗)
葡萄王,2018-03,1,32,849373.00,I(明星)
裕民,2018-03,0.1,163.63,55068.00,II(問號)
裕融,2018-03,0,-77.19,10516.00,III(瘦狗)
達邁,2018-03,0.1,79.06,44758.40,II(問號)
鉅橡,2018-03,0,0,17387.50,III(瘦狗)
雷笛克,2018-03,0,-1.7,14781.769,III(瘦狗)
鼎翰,2018-03,0,0.27,11139.00,III(瘦狗)
鈺邦,2018-03,0,-88.71,11300.00,III(瘦狗)
鈺齊-KY,2018-03,0.2,3.72,194311.816,III(瘦狗)
頎邦,2018-03,0.6,-63.81,533646.30,IV(金牛)
僑威,2018-03,0,0,12421.50,III(瘦狗)
嘉澤,2018-03,1.7,-0.91,1381590.00,IV(金牛)
嘉聯益,2018-03,0.1,-3.09,60049.722,III(瘦狗)
榮化,2018-03,0,26.83,36769.00,II(問號)
碩天,2018-03,0,-2.21,26854.00,III(瘦狗)
精華,2018-03,0.5,-41.35,438416.00,IV(金牛)
聚陽,2018-03,0.1,0,44137.50,III(瘦狗)
遠東銀,2018-03,0,13.88,16646.171,III(瘦狗)
億豐,2018-03,0.2,1.85,192142.50,III(瘦狗)
廣越,2018-03,0,-7.66,22895.00,III(瘦狗)
廣隆,2018-03,0,2.09,30765.00,III(瘦狗)
潤泰全,2018-03,0,0,31640.40,III(瘦狗)
儒鴻,2018-03,0.5,56.9,452067.57,I(明星)
樺漢,2018-03,0.6,25.51,530019.008,I(明星)
興富發,2018-03,0,-8.79,37248.75,III(瘦狗)
興勤,2018-03,0,16.58,14445.00,III(瘦狗)
濱川,2018-03,0.3,6.78,211770.731,III(瘦狗)
環宇-KY,2018-03,0,-30.22,33075.50,III(瘦狗)
環球晶圓,2018-03,6.4,16.76,5373095.00,IV(金牛)
聯合,2018-03,0.1,89.69,93528.676,II(問號)
聯邦銀,2018-03,0,2.57,20532.255,III(瘦狗)
聯亞,2018-03,0.4,-21.32,373464.00,III(瘦狗)
聯茂,2018-03,0.3,50.52,245969.90,II(問號)
聯強,2018-03,0.2,601.38,195706.50,II(問號)
聯發科,2018-03,3.2,126.96,2677345.031,I(明星)
聯詠,2018-03,0,0,19875.00,III(瘦狗)
聯鈞,2018-03,0,-48.49,13937.50,III(瘦狗)
聯電,2018-03,0,9.54,12400.00,III(瘦狗)
鴻海,2018-03,0.9,-11.65,758045.956,IV(金牛)
豐祥-KY,2018-03,0,7.49,23713.40,III(瘦狗)
豐興,2018-03,0,-28.83,19694.50,III(瘦狗)
雙鴻,2018-03,0,-90.27,10476.30,III(瘦狗)
鎧勝-KY,2018-03,0.1,-36.92,73383.094,III(瘦狗)
穩懋,2018-03,4.3,48.26,3587676.993,I(明星)
藥華藥,2018-03,0,1.73,21411.00,III(瘦狗)
譜瑞-KY,2018-03,2.9,-3.69,2396560.00,IV(金牛)
麗豐-KY,2018-03,0.1,0,42120.00,III(瘦狗)
寶成,2018-03,0,153.09,41764.00,II(問號)
寶齡富錦,2018-03,0.1,0,91800.00,III(瘦狗)
力成,2018-02,0.1,-25.71,43306.80,III(瘦狗)
力旺,2018-02,0.5,-32.62,415242.00,IV(金牛)
卜蜂,2018-02,0,17.3,10080.00,II(問號)
三星,2018-02,0,7.27,17936.00,III(瘦狗)
三商壽,2018-02,0,6.08,19105.154,III(瘦狗)
上奇,2018-02,0,-8,11799.00,III(瘦狗)
上銀,2018-02,1.4,12.42,1088824.875,I(明星)
凡甲,2018-02,0,-2.86,33306.00,III(瘦狗)
千附,2018-02,0.1,-27.2,50062.50,III(瘦狗)
大中,2018-02,0,-3.14,13932.00,III(瘦狗)
大立光,2018-02,2.3,-17.13,1809072.00,IV(金牛)
大地-KY,2018-02,0,15.16,35409.653,II(問號)
大成,2018-02,0,-0.15,3293.15,III(瘦狗)
大成鋼,2018-02,0,0,10584.00,III(瘦狗)
大江,2018-02,1.5,32.58,1196566.14,I(明星)
大車隊,2018-02,0,1.47,20731.20,III(瘦狗)
山水林,2018-02,0,0.46,20672.00,III(瘦狗)
川湖,2018-02,0,7.71,25560.00,III(瘦狗)
中信金,2018-02,0.8,19.63,650710.979,I(明星)
中保,2018-02,0,0.88,14271.30,III(瘦狗)
中砂,2018-02,0.1,-13.53,73507.20,III(瘦狗)
中美晶,2018-02,2.2,-19.9,1772023.40,IV(金牛)
中租-KY,2018-02,1.5,-1.05,1206190.60,IV(金牛)
中航,2018-02,0,0.16,16254.00,III(瘦狗)
中華電,2018-02,0.4,-3.5,343983.30,III(瘦狗)
中磊,2018-02,0,1.43,12735.00,III(瘦狗)
中橡,2018-02,0.2,29.23,195000.00,II(問號)
中鋼,2018-02,0,-3.21,39933.70,III(瘦狗)
中鴻,2018-02,0.1,71.82,115710.35,II(問號)
元太,2018-02,0.1,-30.61,61897.50,III(瘦狗)
文曄,2018-02,0.1,0.1,55968.563,III(瘦狗)
日友,2018-02,0.3,8.73,242840.00,II(問號)
日月光,2018-02,0,-57.15,32644.012,III(瘦狗)
世芯-KY,2018-02,0.2,354.53,124971.00,II(問號)
世界,2018-02,0,-84.25,14640.00,III(瘦狗)
可成,2018-02,1.1,117.63,898452.00,I(明星)
台化,2018-02,1.7,-9.07,1342433.61,IV(金牛)
台半,2018-02,0.6,8.36,455678.00,I(明星)
台光電,2018-02,0.1,222.65,48618.00,II(問號)
台汽電,2018-02,0,-20.36,10763.50,III(瘦狗)
台泥,2018-02,0.1,-23.97,60680.00,III(瘦狗)
台郡,2018-02,0.3,0.9,232009.904,III(瘦狗)
台勝科,2018-02,1.5,-4.28,1225917.00,IV(金牛)
台塑,2018-02,2.6,-0.07,2121935.99,IV(金牛)
台塑化,2018-02,0.4,-30.75,361087.74,IV(金牛)
台達電,2018-02,0.1,-5.44,52820.00,III(瘦狗)
台積電,2018-02,14.3,-1.56,11427310.572,IV(金牛)
台燿,2018-02,3.4,18.99,2683942.40,I(明星)
台耀,2018-02,0,-77.45,5481.00,III(瘦狗)
永豐金,2018-02,0,0.49,14665.20,III(瘦狗)
玉山金,2018-02,0.1,0.78,54691.749,III(瘦狗)
瓦城,2018-02,0,1,17498.50,III(瘦狗)
禾伸堂,2018-02,0.4,-27.79,332521.20,III(瘦狗)
立端,2018-02,0.1,-23.28,104206.388,III(瘦狗)
立積,2018-02,0,-2.87,13504.00,III(瘦狗)
光隆,2018-02,0,88.34,32512.00,II(問號)
兆豐金,2018-02,0.1,19.69,46049.841,II(問號)
先豐,2018-02,0,-3.34,17264.00,III(瘦狗)
全宇生技-KY,2018-02,0.1,-10.67,106355.00,III(瘦狗)
全家,2018-02,0.1,-15.34,86699.00,III(瘦狗)
全新,2018-02,0.8,2.11,673456.00,IV(金牛)
同亨,2018-02,0,-7.69,19899.00,III(瘦狗)
同欣電,2018-02,0.1,-10.01,53004.50,III(瘦狗)
合庫金,2018-02,0,-4.27,31722.00,III(瘦狗)
合晶,2018-02,1.5,4.7,1176123.90,IV(金牛)
宇峻奧汀,2018-02,0,-7.99,39071.375,III(瘦狗)
宇隆,2018-02,0,-4.71,12322.00,III(瘦狗)
成霖,2018-02,0,0,17550.00,III(瘦狗)
江申,2018-02,0,-36.94,18197.558,III(瘦狗)
江興鍛,2018-02,0,-1.42,27640.00,III(瘦狗)
百和,2018-02,0,-46.1,20475.00,III(瘦狗)
西柏科技,2018-02,0.1,-10.26,74579.238,III(瘦狗)
宏正,2018-02,0,0,12979.60,III(瘦狗)
宏捷科,2018-02,0.1,27.98,63282.80,II(問號)
宏盛,2018-02,0,0,14892.00,III(瘦狗)
宏碁,2018-02,0.3,0.71,203097.60,III(瘦狗)
宏觀,2018-02,0.5,-33.28,380740.50,IV(金牛)
技嘉,2018-02,0.3,83.19,273818.50,II(問號)
材料-KY,2018-02,0,-20.37,39751.00,III(瘦狗)
良維,2018-02,0.3,-40.71,236800.80,III(瘦狗)
辛耘,2018-02,0.4,-8.22,305224.20,III(瘦狗)
邦特生技,2018-02,0.1,-7,60264.00,III(瘦狗)
亞德客-KY,2018-02,1.4,174.33,1153216.575,I(明星)
京鼎,2018-02,0.4,-40.07,303212.00,III(瘦狗)
和大,2018-02,0.1,32.62,77388.941,II(問號)
和碩,2018-02,0.2,30.74,122400.00,II(問號)
奇力新,2018-02,0.6,-34.63,495335.34,IV(金牛)
宜特,2018-02,0.1,-71.2,57155.76,III(瘦狗)
昂寶-KY,2018-02,0.2,-33.12,161765.88,III(瘦狗)
昇達科,2018-02,0,-3.13,16153.80,III(瘦狗)
欣銓,2018-02,0.7,-6.04,557530.65,IV(金牛)
欣興,2018-02,0,-4.71,20583.80,III(瘦狗)
牧德,2018-02,0.8,20.15,610493.00,I(明星)
直得,2018-02,0.2,130.47,174156.00,II(問號)
矽力-KY,2018-02,1,-6.12,775450.00,IV(金牛)
矽品,2018-02,0.4,0.99,286719.70,III(瘦狗)
長虹,2018-02,0.1,7.59,51958.00,III(瘦狗)
長華科,2018-02,0,-59.63,6448.00,III(瘦狗)
信邦,2018-02,0,-2.19,18446.00,III(瘦狗)
信驊,2018-02,0.8,10.73,677612.625,I(明星)
冠德,2018-02,0,-5.59,7385.00,III(瘦狗)
南光,2018-02,0,-4.47,12450.90,III(瘦狗)
南亞,2018-02,0.4,69.92,343886.348,II(問號)
南亞科,2018-02,0.3,-59.66,260741.60,III(瘦狗)
為升,2018-02,0.3,173.43,205356.45,II(問號)
研華,2018-02,0,-4.6,10875.00,III(瘦狗)
美律,2018-02,0,4.91,20352.00,III(瘦狗)
美食-KY,2018-02,0.2,-59.79,145276.80,III(瘦狗)
胡連,2018-02,0.1,-5.59,68593.00,III(瘦狗)
致茂,2018-02,0.6,-15.17,475520.16,IV(金牛)
茂順,2018-02,0,2.18,13356.20,III(瘦狗)
茂達,2018-02,0,-35.2,15347.50,III(瘦狗)
英利-KY,2018-02,0,-6.96,15350.00,III(瘦狗)
恒耀,2018-02,0,2.2,21944.00,III(瘦狗)
展旺,2018-02,0,0,13804.70,III(瘦狗)
振曜,2018-02,0,-13.41,16140.00,III(瘦狗)
桓達,2018-02,0.1,40.6,62224.47,II(問號)
泰博,2018-02,0,0,17741.50,III(瘦狗)
高技,2018-02,0.1,388.89,42161.70,II(問號)
健鼎,2018-02,0.2,0,139613.30,III(瘦狗)
國巨,2018-02,4.4,-26.09,3557158.286,IV(金牛)
國泰金,2018-02,2.6,13.75,2101921.066,I(明星)
國喬,2018-02,0,0,9431.60,III(瘦狗)
國精化,2018-02,0,0,9478.00,III(瘦狗)
崇越,2018-02,0.2,194.52,121888.00,II(問號)
崧騰,2018-02,0,-2.25,17282.20,III(瘦狗)
康友-KY,2018-02,0,11.79,14478.00,II(問號)
"康控-KY ",2018-02,0.4,6.3,366100.00,IV(金牛)
康普,2018-02,0.1,24.08,93060.00,II(問號)
強信-KY,2018-02,0.1,0,59231.00,III(瘦狗)
強茂,2018-02,0.4,20.73,281607.00,II(問號)
捷敏-KY,2018-02,0.3,-4.7,253061.60,III(瘦狗)
啟碁,2018-02,0.2,-5.99,178584.864,III(瘦狗)
祥碩,2018-02,0.9,-12.34,683803.316,IV(金牛)
統一,2018-02,0.4,16.11,312883.329,II(問號)
統一超,2018-02,0.1,-20.97,82754.50,III(瘦狗)
凱撒衛,2018-02,0,80.13,17120.00,II(問號)
創意,2018-02,1,-46.42,775930.00,IV(金牛)
勝麗國際,2018-02,0.4,-1.04,279627.00,III(瘦狗)
博智,2018-02,0.1,-48.95,96196.10,III(瘦狗)
富邦金,2018-02,0.4,-4.83,325810.791,III(瘦狗)
富邦媒,2018-02,0.1,-9.94,42000.00,III(瘦狗)
晶焱,2018-02,0,5.85,35888.80,III(瘦狗)
晶電,2018-02,0.2,-60.42,127195.20,III(瘦狗)
智伸科,2018-02,0.4,-20.91,322728.00,III(瘦狗)
智邦,2018-02,2.8,-24.7,2221296.00,IV(金牛)
智原,2018-02,0.8,-30.92,654556.00,IV(金牛)
智崴,2018-02,0.3,-5.12,203352.00,III(瘦狗)
湧德,2018-02,0,-0.79,19500.00,III(瘦狗)
翔名,2018-02,0.1,-27.25,82944.85,III(瘦狗)
華固,2018-02,0,-0.96,35231.00,III(瘦狗)
華夏,2018-02,0.6,-7.05,481661.40,IV(金牛)
華航,2018-02,0,-28.48,20550.50,III(瘦狗)
華新,2018-02,0.2,1.19,128684.40,III(瘦狗)
華新科,2018-02,0.4,-53.95,355507.488,III(瘦狗)
華碩,2018-02,0.1,-1.42,41550.00,III(瘦狗)
貿聯-KY,2018-02,0.3,-20.54,254300.256,III(瘦狗)
開發金,2018-02,0.4,0.25,313824.00,III(瘦狗)
雄獅,2018-02,0,-41.04,33669.00,III(瘦狗)
順德,2018-02,0.1,0,77568.00,III(瘦狗)
鈦昇,2018-02,0,122.15,26076.20,II(問號)
微星,2018-02,1.7,1.33,1360818.00,IV(金牛)
愛普,2018-02,0.1,91.6,72499.20,II(問號)
新日興,2018-02,0.1,0,46206.00,III(瘦狗)
新保,2018-02,0,0,9115.40,III(瘦狗)
新唐,2018-02,0.2,-9.38,168192.00,III(瘦狗)
瑞昱,2018-02,0.1,19.12,116580.00,II(問號)
瑞儀,2018-02,0.2,247.58,176962.50,II(問號)
盟立,2018-02,0,2.98,9890.00,III(瘦狗)
萬潤,2018-02,0.2,28.11,143887.20,II(問號)
葡萄王,2018-02,0.8,38.53,643464.00,I(明星)
裕民,2018-02,0,31.81,20888.00,II(問號)
裕融,2018-02,0.1,-0.44,46104.00,III(瘦狗)
達邁,2018-02,0,-1.87,24994.80,III(瘦狗)
雷笛克,2018-02,0,0,15038.10,III(瘦狗)
鼎翰,2018-02,0,-34.98,11109.00,III(瘦狗)
鈺邦,2018-02,0.1,170.65,100122.00,II(問號)
鈺齊-KY,2018-02,0.2,-15.89,187338.897,III(瘦狗)
頎邦,2018-02,1.8,77.14,1474736.50,I(明星)
嘉澤,2018-02,1.7,63.42,1394400.00,I(明星)
嘉聯益,2018-02,0.1,-56.36,61971.00,III(瘦狗)
榮化,2018-02,0,-1.21,28990.00,III(瘦狗)
榮成,2018-02,0.3,10.87,238988.206,II(問號)
碩天,2018-02,0,-3.16,27463.00,III(瘦狗)
福盈科,2018-02,0,-3,12705.00,III(瘦狗)
精測,2018-02,0.9,-12.19,731400.00,IV(金牛)
精華,2018-02,0.9,-24.59,747608.00,IV(金牛)
遠東新,2018-02,0.1,-0.38,95989.05,III(瘦狗)
遠東銀,2018-02,0,-0.1,14616.701,III(瘦狗)
億豐,2018-02,0.2,49.71,188640.00,II(問號)
廣越,2018-02,0,-3.33,24795.00,III(瘦狗)
廣隆,2018-02,0,-1.64,30135.00,III(瘦狗)
德律,2018-02,0,0,19495.00,III(瘦狗)
儒鴻,2018-02,0.4,-4.4,288111.72,III(瘦狗)
樺漢,2018-02,0.5,78.18,422283.505,I(明星)
璟德,2018-02,0.1,-6.1,61155.50,III(瘦狗)
興富發,2018-02,0.1,-3.6,40838.75,III(瘦狗)
興勤,2018-02,0,-3.5,12390.00,III(瘦狗)
龍巖,2018-02,0,-4.62,12032.00,III(瘦狗)
濱川,2018-02,0.2,-3.61,198324.10,III(瘦狗)
環宇-KY,2018-02,0.1,-21.24,47401.20,III(瘦狗)
環球晶圓,2018-02,5.8,-4.36,4601652.00,IV(金牛)
聯合,2018-02,0.1,-1.27,49303.64,III(瘦狗)
聯邦銀,2018-02,0,-5,20015.72,III(瘦狗)
聯亞,2018-02,0.6,81.98,474718.50,I(明星)
聯茂,2018-02,0.2,43.55,163404.00,II(問號)
聯強,2018-02,0,0,27902.70,III(瘦狗)
聯發科,2018-02,1.5,18.68,1179613.281,I(明星)
聯鈞,2018-02,0,-62.93,27060.00,III(瘦狗)
聯電,2018-02,0,-0.7,11320.00,III(瘦狗)
鴻海,2018-02,1.1,-12.84,858093.824,IV(金牛)
鴻準,2018-02,0,-4.79,11513.00,III(瘦狗)
豐泰,2018-02,0,0,11954.00,III(瘦狗)
豐祥-KY,2018-02,0,-4.33,22059.00,III(瘦狗)
豐興,2018-02,0,2.67,27675.00,III(瘦狗)
雙鴻,2018-02,0.1,142.77,107676.80,II(問號)
鎧勝-KY,2018-02,0.1,-19.17,116345.145,III(瘦狗)
穩懋,2018-02,3,11.97,2419702.67,I(明星)
藥華藥,2018-02,0,13.48,21045.00,II(問號)
譜瑞-KY,2018-02,3.1,-13.41,2488620.00,IV(金牛)
寶成,2018-02,0,0.94,16500.75,III(瘦狗)
櫻花,2018-02,0,-16.67,9550.75,III(瘦狗)
F-IET,2018-01,0,-43.96,17639.44,III(瘦狗)
TPK-KY,2018-01,0.1,0,115440.00,III(瘦狗)
乙盛-KY,2018-01,0.1,-58.42,111758.00,III(瘦狗)
力成,2018-01,0.1,278.58,58302.00,II(問號)
力旺,2018-01,0.7,9.17,616275.00,IV(金牛)
卜蜂,2018-01,0,0,8593.00,III(瘦狗)
三星,2018-01,0,-6.77,16720.00,III(瘦狗)
三商壽,2018-01,0,6.21,18009.312,III(瘦狗)
上奇,2018-01,0,0,12826.00,III(瘦狗)
上銀,2018-01,1.1,118.72,968450.958,I(明星)
凡甲,2018-01,0,0,34288.10,III(瘦狗)
千附,2018-01,0.1,-25.51,68777.40,III(瘦狗)
大中,2018-01,0,0,14383.50,III(瘦狗)
大立光,2018-01,2.6,-43.22,2183125.50,IV(金牛)
大地-KY,2018-01,0,-40.06,30747.172,III(瘦狗)
大成,2018-01,0,1.35,3298.00,III(瘦狗)
大江,2018-01,1.1,7.85,902519.102,IV(金牛)
大車隊,2018-01,0,-6.89,20428.80,III(瘦狗)
大聯大,2018-01,0,0.89,25678.50,III(瘦狗)
山水林,2018-01,0,4.04,20576.00,III(瘦狗)
川湖,2018-01,0,-1.24,23730.00,III(瘦狗)
中信金,2018-01,0.6,6.25,543906.747,IV(金牛)
中保,2018-01,0,-1.63,14145.70,III(瘦狗)
中砂,2018-01,0.1,-0.38,85016.40,III(瘦狗)
中美晶,2018-01,2.6,92.86,2212395.50,I(明星)
中租-KY,2018-01,1.5,90.56,1219088.70,I(明星)
中航,2018-01,0,0,16227.00,III(瘦狗)
中華電,2018-01,0.4,-1.68,356465.90,III(瘦狗)
中壽,2018-01,0,0.16,11490.00,III(瘦狗)
中磊,2018-01,0,-39,12555.00,III(瘦狗)
中橡,2018-01,0.2,16.64,150890.50,III(瘦狗)
中鋼,2018-01,0,0.6,41259.30,III(瘦狗)
中鴻,2018-01,0.1,93.95,67340.00,II(問號)
元太,2018-01,0.1,-29.33,89208.00,III(瘦狗)
文曄,2018-01,0.1,37.35,55909.085,III(瘦狗)
日友,2018-01,0.3,-54.52,223329.00,III(瘦狗)
日月光,2018-01,0.1,0.64,76182.541,III(瘦狗)
世芯-KY,2018-01,0,0,27494.00,III(瘦狗)
世界,2018-01,0.1,19.68,92975.40,III(瘦狗)
世紀鋼,2018-01,0,0,21825.00,III(瘦狗)
可成,2018-01,0.5,-65.62,412824.00,IV(金牛)
台化,2018-01,1.8,45.6,1476421.35,I(明星)
台半,2018-01,0.5,-13.09,420487.20,IV(金牛)
台光電,2018-01,0,-36.82,15067.50,III(瘦狗)
台汽電,2018-01,0,4.18,13516.80,III(瘦狗)
台泥,2018-01,0.1,-62.43,79818.00,III(瘦狗)
台玻,2018-01,0.1,370.81,117855.00,II(問號)
台郡,2018-01,0.3,52.85,229938.387,II(問號)
台勝科,2018-01,1.5,855.16,1280796.00,I(明星)
台塑,2018-01,2.5,7.04,2123620.97,IV(金牛)
台塑化,2018-01,0.6,2.43,521447.28,IV(金牛)
台達電,2018-01,0.1,29.75,55860.00,III(瘦狗)
台積電,2018-01,13.9,9.22,11608997.91,IV(金牛)
台燿,2018-01,2.7,9.41,2255480.00,IV(金牛)
台耀,2018-01,0,-41.76,24310.00,III(瘦狗)
台灣高鐵,2018-01,0,1.48,19580.85,III(瘦狗)
永豐金,2018-01,0,3.93,14592.60,III(瘦狗)
玉山金,2018-01,0.1,8.41,54267.782,III(瘦狗)
瓦城,2018-01,0,12.42,17325.00,III(瘦狗)
生展生技,2018-01,0.2,17.91,139008.00,III(瘦狗)
禾伸堂,2018-01,0.5,-9.44,460544.00,IV(金牛)
立端,2018-01,0.2,-15.02,135842.746,III(瘦狗)
立積,2018-01,0,-0.57,13904.00,III(瘦狗)
光隆,2018-01,0,0,17262.00,III(瘦狗)
兆豐金,2018-01,0,71.45,38473.331,II(問號)
先豐,2018-01,0,10.1,17862.00,III(瘦狗)
全宇生技-KY,2018-01,0.1,-6.4,119070.00,III(瘦狗)
全家,2018-01,0.1,-18.27,102410.00,III(瘦狗)
全新,2018-01,0.8,757.63,659527.50,I(明星)
同亨,2018-01,0,-12.19,21557.25,III(瘦狗)
同欣電,2018-01,0.1,-92.85,58905.00,III(瘦狗)
合庫金,2018-01,0,-10.55,33138.50,III(瘦狗)
合晶,2018-01,1.3,53.75,1123248.00,I(明星)
宇峻奧汀,2018-01,0.1,37.75,42465.003,III(瘦狗)
宇隆,2018-01,0,-54.45,12932.00,III(瘦狗)
成霖,2018-01,0,-51.34,17550.00,III(瘦狗)
旭軟,2018-01,0,-0.42,19339.00,III(瘦狗)
江申,2018-01,0,-2.7,28859.924,III(瘦狗)
江興鍛,2018-01,0,-55.79,28040.00,III(瘦狗)
百和,2018-01,0,-71.71,37989.00,III(瘦狗)
西柏科技,2018-01,0.1,-12.03,83107.764,III(瘦狗)
宏捷科,2018-01,0.1,-52.61,49445.00,III(瘦狗)
宏碁,2018-01,0.2,0,201651.45,III(瘦狗)
宏觀,2018-01,0.7,78.74,570701.00,I(明星)
技嘉,2018-01,0.2,0,149471.20,III(瘦狗)
材料-KY,2018-01,0.1,-8.06,49923.50,III(瘦狗)
良維,2018-01,0.5,107.3,399437.20,I(明星)
辛耘,2018-01,0.4,-18.39,332584.70,III(瘦狗)
邦特生技,2018-01,0.1,-13.7,64800.00,III(瘦狗)
亞德客-KY,2018-01,0.5,-63.79,420371.59,IV(金牛)
京鼎,2018-01,0.6,0,505960.00,IV(金牛)
和大,2018-01,0.1,-78.36,58351.938,III(瘦狗)
和碩,2018-01,0.1,147.65,93615.00,II(問號)
奇力新,2018-01,0.9,6.69,757791.224,IV(金牛)
宜特,2018-01,0.2,-18.19,198469.841,III(瘦狗)
旺宏,2018-01,0.3,-6,228521.982,III(瘦狗)
昂寶-KY,2018-01,0.3,243.79,241901.48,II(問號)
昇達科,2018-01,0,0.39,16676.00,III(瘦狗)
欣銓,2018-01,0.7,239.13,593427.90,I(明星)
欣興,2018-01,0,1.47,21602.80,III(瘦狗)
牧德,2018-01,0.6,1.96,508095.00,IV(金牛)
直得,2018-01,0.1,88.19,75565.00,II(問號)
矽力-KY,2018-01,1,-12.35,826016.00,IV(金牛)
矽品,2018-01,0.3,0.19,283903.20,III(瘦狗)
長虹,2018-01,0.1,21.23,48290.00,III(瘦狗)
長華科,2018-01,0,0,15976.26,III(瘦狗)
信邦,2018-01,0,68.1,18860.00,II(問號)
信驊,2018-01,0.7,-7.42,611938.25,IV(金牛)
冠德,2018-01,0,0,7822.50,III(瘦狗)
南光,2018-01,0,0,13034.00,III(瘦狗)
南亞,2018-01,0.2,139.88,202379.058,II(問號)
南亞科,2018-01,0.8,15.28,646474.80,IV(金牛)
建準,2018-01,0.1,0.42,44625.00,III(瘦狗)
為升,2018-01,0.1,219.46,75102.60,II(問號)
研華,2018-01,0,0,11400.00,III(瘦狗)
美律,2018-01,0,-5.91,19398.00,III(瘦狗)
美食-KY,2018-01,0.4,52.64,361322.00,I(明星)
胡連,2018-01,0.1,-0.32,72656.00,III(瘦狗)
致茂,2018-01,0.7,-28.35,560582.166,IV(金牛)
茂順,2018-01,0,0,13070.20,III(瘦狗)
茂達,2018-01,0,-42.78,23688.00,III(瘦狗)
英利-KY,2018-01,0,14.18,16500.00,III(瘦狗)
恒耀,2018-01,0,-74.91,21470.00,III(瘦狗)
振曜,2018-01,0,-12.57,18640.00,III(瘦狗)
桓達,2018-01,0.1,120.5,44255.40,II(問號)
神盾,2018-01,0,-90.26,11050.00,III(瘦狗)
高技,2018-01,0,0,8624.00,III(瘦狗)
健和興,2018-01,0,-8.5,32884.60,III(瘦狗)
國巨,2018-01,5.8,14.38,4813165.053,IV(金牛)
國泰金,2018-01,2.2,13.57,1847792.801,IV(金牛)
崇越,2018-01,0,0,41385.00,III(瘦狗)
崧騰,2018-01,0,93.64,17680.00,II(問號)
